WORLD,NAME,AGE GROUP,GENDER ,OCCULT,ETHNICITY,JOB,JOB DETAIL / BRANCH AND LEVEL,NOTES,PLAYABLE SIM,STATUS,Family Status,"LOT VALUE
=IF(Lots!I#="""","""",Lots!I#)",HOUSEHOLD FUNDS,BANK CASH,TOTAL,WEALTH CLASS,INDIVIDUAL WEALTH CLASS,CLUB,FAME LEVEL,PET,PET NOTES,PRESTIGE RANK,SUGAR,DOS,OWES KASON MONEY,OWES KASON TIME,FAITH,ADDICTION,ALIGNMENT,POWER SOURCE,FORM LEVEL,MAGICAL ABILITIES,SPELLS,ALCHEMY POTIONS,ALTAR CONFIGURATIONS,OCCULT GROUP,LANGUAGE SPOKEN,POLITICAL ALIGNMENT,ORIENTATION
Forgotten Hollow,Obadiah Korah,Elder,Male,Vampire,Toki,Unemployed,,"wild vamps, all bitten not born",No,Not Started,,,"§1,000",,"§1,000",Destitute,Destitute,The Vampire Court,,,,,,,,,Treaders of the occult,,,,,,,,,,"Ravena , Toki Sulani",,Straight
Forgotten Hollow,Vashti Canaan,Adult,Female,Vampire,Western Simli,Unemployed,,"wild vamps, all bitten not born",No,Not Started,,,"§1,000",,"§1,000",Destitute,Destitute,The Vampire Court,,,,,,,,,Treaders of the occult,,,,,,,,,,"Ravena , Simlish",,Straight
Forgotten Hollow,Varek Sanguine,Adult,Male,Witch,South Windenburgian,NPC-Agent,,"works with the vampires, friends with Bellatrix Mireshade, bound to Pepa Madrigal, the fairy, so is obsessed with her cuz their lives are tied together,",No,Not Started,,,"§9,000",,"§9,000",Destitute,Destitute,The Vampire Court,,,,,,,,,,,Evil,Plasma,3,"magic mentor, magic reuptake","Attitude Aura, motive Manipulation, Sangus Vitamin, Linking Spell",Vampire's bane,"Summon Grim reaper, Summon Familiar",Obsidian Oath,"Ravena , Windenburgish , Simlish",,Straight
Forgotten Hollow,Bellatrix Mireshade,Young Adult,Female,Witch,Eastern Simli,NPC-Agent,,"works with the vampire, friends with Varek Sanguine",No,Not Started,,,"§9,000",,"§9,000",Destitute,Destitute,"Unexplained Anomalies Enthusiasts , The Vampire Court",,,,,,,,,,,Evil,Toxins,2,Potion Prodigy,"Cleanse, Medusa's gaze, morbius, incedia, linking Spell, impotentia Curse","Aphrodisia, Magic infusion, Elixir of fire resistance, Feather weight elixir, Fertility tonic, Bottled talent, Hell's embrace, Vial of pure evil, Bottled benevolence, Duelist's charm, Elixr of invisibility, Blue skin dye, Green skin dye, Red skin dye, Stamina tonic, Vampire's bane, Elixir of necrotic magic, Vanquishing potion","Summon familiar, Conjure rain, Conjure snow, Conjure guide to witchcraft",Obsidian Oath,"Ravena , Simlish",,Straight
Gibbi Point,Freeda Perry,Elder,Female,Human,Toki,Restaurant Waitstaff at Laguna Del Abrazo,,GIVE JOB,No,Ongoing,Perry,,In Game,,,,,,,,,,,,,,,,,,,,,,,,"Simlish , Toki Sulani",,Straight
Gibbi Point,Dougie Perry,Child,Male,Human,Toki,"Boarding School Child , IT Course",,GIVE JOB,No,Ongoing,Perry,,In Game,,,,,,,,,,,,,,,,,,,,,,,,"Simlish , Toki Sulani",,
Gibbi Point,Nigel Chavez-Ralston,Adult,Male,Human,Toki,Park Worker,,GIVE JOB,No,Ongoing,Chavez_Ralston,,In Game,,,,,,,,,,,,,,,,,,,,,,,,"Simlish , Toki Sulani",,Straight
Gibbi Point,Sara Chavez-Ralston,Adult,Female,Human,Toki,"Park Worker, (head-counsellor)",,,No,Ongoing,Chavez_Ralston,,In Game,,,,,,,,,,,,,,,,,,,,,,,,"Simlish , Toki Sulani",,Straight
Gibbi Point,Aeris Chavez-Ralston,Child,Female,Human,Toki,"Independent School , Nature Club",,GIVE JOB,No,Ongoing,Chavez_Ralston,,In Game,,,,,Wild Scouts,,,,,,,,,,,,,,,,,,,"Simlish , Toki Sulani",,
Gibbi Point,Erin Chavez-Ralston,Child,Female,Human,Toki,"Independent School , Nature Club",,GIVE JOB,No,Ongoing,Chavez_Ralston,,In Game,,,,,Wild Scouts,,,,,,,,,,,,,,,,,,,"Simlish , Toki Sulani",,
Gibbi Point,Jane Addam,Adult,Female,Human,South Windenburgian,Restaurant Waitstaff at Laguna Del Abrazo,,GIVE JOB,No,Ongoing,Addam,,In Game,,,,,,,,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,Same Gender
Gibbi Point,Star Addam,Adult,Female,Human,South Windenburgian,Restaurant Waitstaff at Laguna Del Abrazo,,,No,Ongoing,Addam,,In Game,,,,,,,,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,Same Gender
Gibbi Point,Agora Tchotchke,Young Adult,Female,Human,Nordskan,Restaurant Cook at Laguna Del Abrazo,,GIVE JOB,No,Ongoing,,,In Game,,,,,,,,,,,,,,,,,,,,,,,,"Nordska , Simlish",,Straight
Gibbi Point,Skip Broke,Adult,Male,Human,Nordskan,Freelancer,,Programmer,No,Ongoing,,,In Game,,,,,,,,,,,,,,,,,,,,,,,,"Nordska , Simlish",,Straight
Gibbi Point,Buddy Scoop,Child,Male,Human,Nordskan,"Grade School Student , NPC",,,No,Ongoing,,,In Game,,,,,,,,,,,,,,,,,,,,,,,,"Nordska , Simlish",,
Gibbi Point,Pruella Preener,Young Adult,Female,Human,Nordskan,NPC,,,No,Ongoing,,,In Game,,,,,,,,,,,,,,,,,,,,,,,,"Nordska , Simlish",,Straight
Gibbi Point,Toshie Akamine,Young Adult,Female,Human,Komorebigan,"Freelancer , NPC",,Writer,No,Ongoing,,,In Game,,,,,The Library Club,,,,,,,,,,,,,,,,,,,"Simlish , Komorebigo",,Straight
Gibbi Point,Raheel Kunal,Young Adult,Male,Human,North Windenburgian,NPC,,,No,Ongoing,Kunal,,In Game,,,,,,,,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,Straight
Gibbi Point,Laxmi Kunal,Young Adult,Other,Human,North Windenburgian,NPC,,,No,Ongoing,Kunal,,In Game,,,,,,,,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,Both Genders
Glimmerbrook,Bella Faircroft,Young Adult,Female,Human,Tomaruan & Western Simli,Self Employed,"Owns Brooks Bridge Borough, Sells potions and aquired occult items","Daughter of Benedict Faircroft & Claire Faircroft, half sister to Zelda Faircroft, close to Zelda studied magic, black sheep of family,check Ashcroft Faircroft family tree to see relations. wants to be a witch/magic occult",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"§60,000",,"§60,000",Poor,Poor,,,Cat,,,,,,,,,,,,,,,,,"Simlish , Tomaru",,Straight
Glimmerbrook,Wanda Maxomiff,Adult,Female,Witch,Ravenian,NPC-Agent,,"main leader of the witches after the ancestral witch, Mentor to: Nocthera Moonveil",No,Not Started,,,§600,,§600,Destitute,Destitute,,,,,,,,,,,,Neutral,Chaos,5,"Portal Pass, Magic Mentor, Studious, Teleportation, Ancestral connection","Astral projection, Banishment, Biblio Acceleratium, call forth, cleanse, clairvoyance, displacement, excruciate, fertility spell, Impotentia curse, Implementio, Incendia, Invisique, Medusa'e gaze, Sana, Sandman's bliss, Tone deafen","Aphrodidia, magic infusion, Hell's Embrace, vanquishing Potion","Conjure guide to witchcraft, Conjure snow, Summon familiar Conjure sustenance",Tempest,Ravena,,Straight
Glimmerbrook,Ashen Kael,Young Adult,Male,Witch,Tomaruan,NPC-Agent,,Volatile and emotional Mentee of ancestrat witch,No,Not Started,,,§600,,§600,Destitute,Destitute,,,,,,,,,,,,Neutral,Fire,4,"Teleportation, portal pass","Incedia, Cleanse, Transfigure","Hell's embrace, elixir of fire resistance","Summon Ancestral Witch, Conjure rain",Tempest,"Ravena , Tomaru",,Straight
Glimmerbrook,Lumira Dawnbloom,Elder,Female,Witch,South Windenburgian,NPC-Agent,,"Friends with Nocthera Moonveil, Elion Solshade and Tourmaline Ashcroft,",No,Not Started,,,§500,,§500,Destitute,Destitute,,,,,,,,,,,,Good,Light,3,"Studious, magic reuptake","sana, motive manipulation, Invisique, spell of stardom",Stamina Tonic,"Summon Ancestral witch, Conjure sustenence, Summon familiar",Aurial Radiant,"Ravena , Windenburgish",,Straight
Glimmerbrook,Nocthera Moonveil,Adult,Female,Witch,Western Simli,NPC-Agent,,ringleader of good witches,No,Not Started,,,§300,,§300,Destitute,Destitute,,,,,,,,,,,,Good,Moon,4,"Ancestral connection, Portal Pass, teleoprtation, Magic reuptake","Astral Projection, Atitude Aura, Banishment, call forth, cleanse, lupus transitus, liberate, linking spell, sandman'ebliss noctem malediction","Duelist's charm, Elixir of invisibility, Aphrodisia","Summon Ancestral witch, Summon Familiar, Conjure guide to witchcraft",Aurial Radiant,"Ravena , Simlish",,Straight
Glimmerbrook,Nylae Mindthorn,Elder,Female,Witch,Komorebigan,Paranormal,,Fortune Teller branch,No,Not Started,,,"§20,000",,"§20,000",Poor,Poor,,,,,,,,,,,,Neutral,Psychic,2,Studious,"Attitude aura, call forth, ensorcel, excruciate, fearless spell, irrelevio, spell of stardom, mystify, cleanse, vanish",,Conjure sustenence,Arcane Accord,"Ravena , Komorebigo",,Straight
Glimmerbrook,Elion Solshade,Adult,Male,Witch,Eastern Simli,NPC-Agent,,,No,Not Started,,,§400,,§400,Destitute,Destitute,,,,,,,,,,,,Good,Sun,3,Magic Reuptake,"Sana, Sanctuary, magelight, Cleanse",,"Conjure Familiar, Conjure sustenance",Aurial Radiant,"Ravena , Simlish",,Straight
Glimmerbrook,Andromeada Moon,Adult,Female,Witch,Ravenian,NPC-Agent,,ancestral witch,No,Ongoing,Moon,,"§10,000",,"§10,000",Poor,Poor,,,,,,,,,,,,Neutral,,5,all,all,all,,Tempest,Ravena,,Straight
Glimmerbrook,Toya Mochizuki,Adult,Male,Spellcaster,Komorebigan,Paranormal,,"Powerful
 Mystic branch",No,Not Started,,,"§5,000",,"§5,000",Destitute,Destitute,Unexplained Anomalies Enthusiasts,,,,,,,,,,,,,5,,,,,,"Ravena , Komorebigo",,Straight
Glimmerbrook,Simon Silversweater,Adult,Male,Spellcaster,Ravenian,Sage,,Sage of Practical magic,No,Ongoing,,,in game,,,,,,,,,,,,,,,,,,5,,,,,,"Ravena , Simlish",,Straight
Glimmerbrook,Morgyn Ember,Young Adult,Other,Spellcaster,Ravenian,Sage,,Sage of untamed magic,No,Ongoing,,,in game,,,,,The Llamazonian Society,,,,,,,,,,,,,5,,,,,,"Ravena , Simlish",,No Gender
Glimmerbrook,L. Faba,Adult,Female,Spellcaster,Ravenian,Sage,,Sage of Mischief magic,No,Ongoing,,,in game,,,,,,,,,,,,,,,,,,5,,,,,,"Ravena , Simlish",,Straight
Glimmerbrook,Grace Anasi,Young Adult,Female,Spellcaster,Ravenian,Tech Guru,,,No,Ongoing,,,in game,,,,,The STEM Society,,,,,,,,,,,,,2,,,,,,"Ravena , Simlish",,Straight
Glimmerbrook,Tomax Collette,Young Adult,Male,Spellcaster,Ravenian,Writer,,Writer branch,No,Ongoing,,,in game,,,,,The Library Club,,,,,,,,,,,,,2,,,,,,"Ravena , Simlish",,Straight
Glimmerbrook,Minerva Charm,Elder,Female,Spellcaster,South Windenburgian,Retired,,,No,Not Started,Charm,,in game,,,,,,,,,,,,,,,,,,4,,,,,,"Ravena , Windenburgish",,Straight
Glimmerbrook,Darrel Charm,Young Adult,Male,Spellcaster,South Windenburgian,Basiness,,Engaged to Emilia,No,Not Started,Charm,,in game,,,,,,,,,,,,,,,,,,3,,,,,,"Ravena , Windenburgish",,Straight
Glimmerbrook,Gemma Charm,Teenager,Female,Spellcaster,South Windenburgian,"Occult High School , Arts and craft Club Member , Small Business Employee",At Brooks Bridge Borough,,No,Not Started,Charm,,in game,,,,,The Art Appreciation Society,,,,,,,,,,,,,1,,,,,,"Ravena , Windenburgish",,Straight
Glimmerbrook,Emilia Ernest,Young Adult,Female,Spellcaster,Komorebigan,Culinary,,"Mixology branch
engaged to Darrel",No,Not Started,,,in game,,,,,The Foodies,,,,,,,,,,,,,0,,,,,,"Ravena , Komorebigo",,Straight
Glimmerbrook,Sorina Voltarov,Elder,Male,Spellcaster,Ravenian,Retired,,,No,Not Started,Voltarov,,"§5,000",,"§5,000",Destitute,Destitute,,,,,,,,,,,,,,4,,,,,,Ravena,,Straight
Glimmerbrook,Davorin Voltarov,Elder,Female,Spellcaster,Ravenian,Retired,,,No,Not Started,Voltarov,,Same as Sorina Same household,,,,Destitute,,,,,,,,,,,,,,4,,,,,,Ravena,,Straight
Glimmerbrook,Ilyena Voltarov,Young Adult,Female,Spellcaster,Ravenian,Uni-History,,,No,Not Started,Voltarov,,"§4,000",,"§4,000",Destitute,Destitute,,,,,,,,,,,,,,2,,,,,,Ravena,,Straight
Glimmerbrook,Cassimira Voltarov,Adult,Male,Spellcaster,Ravenian,Uni-Physics,,,No,Not Started,Voltarov,,"§3,000",,"§3,000",Destitute,Destitute,,,,,,,,,,,,,,3,,,,,,Ravena,,Straight
Glimmerbrook,Valerian Voltarov,Adult,Male,Spellcaster,Ravenian,Education,,"married to Selendra, k-12",No,Not Started,Voltarov,,"§5,000",,"§5,000",Destitute,Destitute,,,,,,,,,,,,,,2,,,,,,Ravena,,Straight
Glimmerbrook,Selendra Voltarov,Adult,Female,Spellcaster,Ravenian,Park Worker,,,No,Not Started,Voltarov,,"Same as valerian, Same household",,,,Destitute,,,,,,,,,,,,,,2,,,,,,Ravena,,Straight
Glimmerbrook,Odran Voltarov,Teenager,Male,Spellcaster,Ravenian,"Occult High School , Scat",,friends wit Gemma charm,No,Not Started,Voltarov,,"Same as valerian, Same household",,,,Destitute,,,,,,,,,,,,,,1,,,,,,Ravena,,Straight
Glimmerbrook,Zorya Voltarov,Child,Female,Spellcaster,Ravenian,"Grade School Student , Dance classes",,,No,Not Started,Voltarov,,"Same as valerian, Same household",,,,Destitute,The Performing Arts and Dance Club,,,,,,,,,,,,,,,,,,,Ravena,,
Glimmerbrook,Pelagia Voltarov,Toddler,Male,Spellcaster,Ravenian,,,,No,Not Started,Voltarov,,"Same as valerian, Same household",,,,Destitute,,,,,,,,,,,,,,,,,,,,Ravena,,
Glimmerbrook,Voltryn Illumaris,Teenager,Male,Everdew Fae,Ravenian,"NPC-Agent , Specialized/Magnetic Public School  Student , Computer Team Member , Retial Employee",At The Solar Flare,"modernized, mostly an npc",No,Ongoing,Illumaris,,"§50,000",,"§50,000",Poor,Poor,The STEM Society,,,,,,,,,,,Neutral,Electricity,2,"Sprite form, magic reputake","Cleanse, electra Impulsa, refectio, surge, mage light",-,,,Ravena,,Both Genders
Glimmerbrook,Lucina Illumaris,Adult,Female,Everdew Fae,Ravenian,"NPC-Agent, Active Photographer",,"modernized, mostly an npc",No,Ongoing,Illumaris,,"Same as Voltryn, same household",,,,Poor,,,,,,,,,,,,Neutral,Light,3,"magic mentor, sprite form, magic reuptake","cleanse, harmonize, electra impulsa,magelight",-,,,Ravena,,Straight
Glimmerbrook,Harmon Illumaris,Adult,Male,Everdew Fae,Ravenian,"NPC-Agent , Undertaker",,"modernized, mostly an npc",No,Ongoing,Illumaris,,"Same as Voltryn, same household",,,,Poor,,,,,,,,,,,,Neutral,Music,3,"magic mentor, sprite form, magic reuptake","cleanse, harmonize, electra impulsa,magelight",-,,,Ravena,,Straight
Glimmerbrook,Yume Nishimura,Young Adult,Male,Sylvan Fae,Komorebigan,NPC-Agent,,,No,Ongoing,,,§500,,§500,Destitute,Destitute,The Sylvan Circle,,,,,,,,,,,Evil,Illusions,2,"Sprite form, magic reuptake, studious","Astral projection, clairvoyance, excruciate, invisique, mystify, noctem malediction,sandman's bliss",,,,"Ravena , Komorebigo",,Straight
Glimmerbrook,Cypress Sequoia,Young Adult,Female,Plantsim,Nature,NPC-Agent,,,No,Not Started,,,§400,,§400,Destitute,Destitute,The Sylvan Circle,,,,,,,,,,,,,3,"Floral Photosynthesis, Subterranean Travel, Fertilizing Network , Phermones",,,,Fall,Ravena,,Straight
Glimmerbrook,Juncea Snowdrop,Adult,Other,Plantsim,Nature,NPC-Agent,,,No,Not Started,,,"§3,000",,"§3,000",Destitute,Destitute,"The Sylvan Circle , Unexplained Anomalies Enthusiasts",,,,,,,,,,,,,,,,,,Winter,Ravena,,Straight
Glimmerbrook,Peony Larkspur,Adult,Male,Plantsim,Nature,NPC-Agent,,,No,Not Started,,,"§3,000",,"§3,000",Destitute,Destitute,The Sylvan Circle,,,,,,,,,,,,,2,"Floral Photosynthesis, Subterranean Travel",,,,Spring,Ravena,,Straight
Glimmerbrook,Eglantine Asphodel,Young Adult,Male,Plantsim,Nature,NPC-Agent,,,No,Not Started,,,"§3,000",,"§3,000",Destitute,Destitute,The Sylvan Circle,,,,,,,,,,,,,1,Floral Photosynthesis,Myconid,,,Spring,Ravena,,Straight
Glimmerbrook,Dorcella Vanthe,Young Adult,Male,Satyr,Nature,NPC-Agent,,,No,Not Started,,,§500,,§500,Destitute,Destitute,The Sylvan Circle,,,,,,,,,,,,,,,,,,,Ravena,,Straight
Granite Falls,Kenai Bear,Young Adult,Male,Human,Tartosian,GRANITE FALLS BEAR NPCS,,,No,Ongoing,,,"§1,000",,"§1,000",Destitute,Destitute,,,,,,,,,,,,,,,,,,,,"Tartosiano , Simlish",,Straight
Granite Falls,Terrace Albright,Young Adult,Male,Human,Tartosian,FOREST RANGER NPCS,,,No,Ongoing,,,"§40,000",,"§40,000",Poor,Poor,,,,,,,,,,,,,,,,,,,,"Tartosiano , Simlish",,Straight
Granite Falls,Mable Buford,Elder,Female,Human,Tartosian,GRANITE FALLS HERMIT NPCS,,,No,Ongoing,,,"§1,000",,"§1,000",Destitute,Destitute,,,,,,,,,,,,,,,,,,,,"Tartosiano , Simlish",,Straight
Henford-on-Bagley,Bartholomew Faircroft,Elder,Male,Human,Western Simli,Retired,,"Son of Charles & Velma Faircroft, married to Sylvia Faircroft, father of Shepherd Faircroft, Gregory Moretti, Helena Faircroft, and Chayton Faircroft, dislikes gregory for being gay, dislikes Bella Faircroft for being the result of Claire and Benedict getting married, hates Claire for leaving brother by blood(Lucien Faircroft) to marry his half brother from his dad's first marriage (Benedict Faircroft), hates Bella for also being such a new age hippe, hates Dakota Grayhawk for sleeping with his wife and getting her pregnant, hates Winona  Grayhawk for being born, hates the Ashcrofts and their kids and other siblings, cuz they are from the side of his family from his dad's first marriage, hates Fiona Ashcroft for daring be from that side of the family and ""seducing"" his last born, Chayton Faircroft, does not blame his wife for her affair.,check Ashcroft Faircroft family tree to see relations. Grandpa on Olde mill Hill",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,"§271,287","§550,000",,"§821,287",Rich,Rich,"Cedar Creek Country Club , Soil to mouth Association , The Traditionalsits",,Dog,,,,,,,Worship of the Watcher,,,,,,,,,,Simlish,Plumbobtician,Straight
Henford-on-Bagley,Sylvia Faircroft,Elder,Female,Human,Western Simli,Retired,,"Wife of bartholomew Faircroft Mother of Shepherd Faircroft, Gregory Moretti, Helena Faircroft, Chayton Faircroft, and had affair with Dakota Grayhawk and had Winona Grayhawk with him, tries to suppress scandal,check Ashcroft Faircroft family tree to see relations, Grandma on Olde Mill Hill",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"same as barthelomew, same household",,,,Rich,"Cedar Creek Country Club , Soil to mouth Association , The Traditionalsits",,,,,,,,,Worship of the Watcher,,,,,,,,,,Simlish,,Straight
Henford-on-Bagley,Shepherd Faircroft,Adult,Male,Human,Western Simli,"Self Employed , Farmer",Animal husbandry,"Son of bartholomew & Sylvia Faircroft, dutiful, conservative,will inherit animal farm,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"same as barthelomew, same household",,,,Rich,"Soil to mouth Association , The Simstainable Collective",,,,,,,,,Worship of the Watcher,,,,,,,,,,Simlish,Plumbobtician,Straight
Henford-on-Bagley,Willa Faircroft,Adult,Female,Human,Western Simli,"Self Employed , Farmer",Animal husbandry,"Supportive wife,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"same as barthelomew, same household",,,,Rich,Soil to mouth Association,,,,,,,,,Worship of the Watcher,,,,,,,,,,Simlish,Plumbobtician,Straight
Henford-on-Bagley,Avery Faircroft,Teenager,Male,Human,Western Simli,"Elite Private School Student, Football Team Member , Small Business Employee",At The Gnome's Arms,"Oldest son of Shepherd and Willa Faircroft, protective of sisters,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"same as barthelomew, same household",,,,Rich,The Athletics Club,,,,,,,,,,,,,,,,,,,Simlish,,Straight
Henford-on-Bagley,Flora Faircroft,Child,Female,Human,Western Simli,"Grade School Student , Dance Classes",,"Child of Shepherd and Willa Faircroft, Twin girl, active, likes farm animals,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"same as barthelomew, same household",,,,Rich,"The Art Appreciation Society , The Performing Arts and Dance Club",,,,,,,,,,,,,,,,,,,Simlish,,
Henford-on-Bagley,Fern Faircroft,Child,Female,Human,Western Simli,"Grade School Student , Nature Club",,"Child of Shepherd and Willa Faircroft, Twin girl, active, likes farm animals,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"same as barthelomew, same household",,,,Rich,Wild Scouts,,,,,,,,,,,,,,,,,,,Simlish,,
Henford-on-Bagley,Charles Faircroft,Elder,Male,Ghost,Western Simli,NA,,"Widower of Beatrice, later married Velma (mistress); resented by Beatrice's family,check Ashcroft Faircroft family tree to see relations, former owner of the olde mill hill farm",No,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,,,,,,,,,,,,,,,,,,,,,,,,,Simlish,,Straight
Henford-on-Bagley,Velma Faircroft,Elder,Female,Ghost,Western Simli,NA,,"Former mistress turned wife, not liked by Beatrice's family,check Ashcroft Faircroft family tree to see relations",No,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,,,,,,,,,,,,,,,,,,,,,,,,,Simlish,,Straight
Henford-on-Bagley,Hazel Faircroft,Adult,Female,Human,Tomaruan & Western Simli,Naturopath,,"Daughter of Lucien and Claire Faircroft, bella Faircroft's half sister, friendly with half sister, caught in parents' feud,check Ashcroft Faircroft family tree to see relations",No,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"§5,000",,"§5,000",Destitute,Destitute,,,,,,,,,,,,,,,,,,,,"Simlish , Tomaru",,Straight
Henford-on-Bagley,Saffron Ashcroft,Adult,Female,Human,Western Simli,Self Employed,Crop farming,"Daughter of Edgar & Mirelle Ashcroft, practical,cash crop farmer, close to Elliot,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"§500,000",,"§500,000",Rich,Rich,"Soil to mouth Association , Soil to mouth Association",,,,,,,,,,,,,,,,,,,Simlish,,Straight
Henford-on-Bagley,Emmet Ashcroft,Adult,Male,Human,Ravenian,Self Employed,Crop farming,"Saffron Ashcroft's Spouse,Hardworking, dislikes drama,check Ashcroft Faircroft family tree to see relations Beekeeps too",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"same as Saffron, same household",,,,Rich,Soil to mouth Association,,,,,,,,,,,,,,,,,,,Ravena,,Straight
Henford-on-Bagley,Reed Ashcroft,Teenager,Male,Human,Ravenian & Western Simli,"Elite Private School Student, Arts and craft Club Member , Small Business Employee",At The Gnome's Arms,"Parentified teen child of Saffron and Emmet Ashcroft, handles siblings,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"same as Saffron, same household",,,,Rich,The Art Appreciation Society,,,,,,,,,,,,,,,,,,,"Simlish , Ravena",,Straight
Henford-on-Bagley,Poppy Ashcroft,Child,Female,Human,Ravenian & Western Simli,"Grade School Student , Swimming lessons",,"Child of Saffron and Emmet Ashcroft, Energetic,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"same as Saffron, same household",,,,Rich,The Swimming Club,,,,,,,,,,,,,,,,,,,"Simlish , Ravena",,
Henford-on-Bagley,Clover Ashcroft,Child,Male,Human,Ravenian & Western Simli,"Grade school Student, Dance Classes",,"Child of Saffron and Emmet Ashcroft, Sweet,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"same as Saffron, same household",,,,Rich,The Performing Arts and Dance Club,,,,,,,,,,,,,,,,,,,"Simlish , Ravena",,
Henford-on-Bagley,Lark Ashcroft,Child,Female,Human,Ravenian & Western Simli,"Grade school Student, Art Classes",,"Child of Saffron and Emmet Ashcroft, Creative,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"same as Saffron, same household",,,,Rich,The Art Appreciation Society,,,,,,,,,,,,,,,,,,,"Simlish , Ravena",,
Henford-on-Bagley,Sabrina Faircroft,Adult,Female,Human,Western Simli,Self Employed," Everything everywhere all at once entrepreneur, Owns The Gnome's Arms and is in line for Preeminent Domain","Daughter of bartholomew and Sylvia Faircroft, Charismatic, travels between households,tries to stay on good terms with all so she can sell their stuff,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,"§212,866","§60,000",,"§272,866",Middle Class,Middle Class,"The Foodies , Soil to mouth Association , The Llamazonian Society",,,,,,,,,,,,,,,,,,,Simlish,,Straight
Henford-on-Bagley,Olivia Hastings ,Young Adult,Female,Human,South Windenburgian,"Hirable for Sabrina Faircroft's shop , Aspiring Stay-at-home-parent",,"housewife, gentle virgin, will marry kason",Yes,Not Started,,,"§5,000",,"§5,000",Destitute,Destitute,,,,,,,,,,,,,,,,,,,,Windenburgish,,Straight
Henford-on-Bagley,Morella Usher,Adult,Female,Human,Eastern Simli,Active Lawyer,,Usher child 1's spouse high level,No,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"§400,000",,"§400,000",Middle Class,Middle Class,"Cedar Creek Country Club , The Bar Association",,Horse,,,,,,,,,,,,,,,,,Simlish,Plumbobtician,Straight
Henford-on-Bagley,Frederick Usher,Adult,Male,Human,Western Simli,Active Politician,,Usher child 1,No,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,,"Same as Morella Usher, Same Household",,,,Middle Class,"Cedar Creek Country Club , The Plumbobtician Society",,,,,,,,,Worship of the Watcher,,,,,,,,,,Simlish,Plumbobtician,Straight
